raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
60,"Yichun Wonsen Intelligent Equipment Co., Ltd.",,,,,,,,"Yichun Wonsen Intelligent Equipment Co., Ltd.",https://biomiddleeast.com/exhibitors/yichun-wonsen-intelligent-equipment-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
61,"HEBEI JIHENG PHARMACEUTICAL CO.,LTD",,,,,,,,"HEBEI JIHENG PHARMACEUTICAL CO.,LTD",https://biomiddleeast.com/exhibitors/hebei-jiheng-pharmaceutical-coltd,https://biomiddleeast.com/exhibitor-list-2026
62,"JIANGXI HAORAN BIO-PHARMA CO.,LTD",,,,,,,,"JIANGXI HAORAN BIO-PHARMA CO.,LTD",https://biomiddleeast.com/exhibitors/jiangxi-haoran-bio-pharma-coltd,https://biomiddleeast.com/exhibitor-list-2026
63,"Zhejiang Ausun Pharmaceutical Co., Ltd.",,,,,,,,"Zhejiang Ausun Pharmaceutical Co., Ltd.",https://biomiddleeast.com/exhibitors/zhejiang-ausun-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
64,"United Pharma Industries Co., Ltd.",,,,,,,,"United Pharma Industries Co., Ltd.",https://biomiddleeast.com/exhibitors/united-pharma-industries-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
65,"Shandong Linuo Pharmaceutical Packaging Co., Ltd.",,,,,,,,"Shandong Linuo Pharmaceutical Packaging Co., Ltd.",https://biomiddleeast.com/exhibitors/shandong-linuo-pharmaceutical-packaging-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
66,"Zhejiang Yueshan Capsule Co., Ltd.",,,,,,,,"Zhejiang Yueshan Capsule Co., Ltd.",https://biomiddleeast.com/exhibitors/zhejiang-yueshan-capsule-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
67,"Zhejiang Xianju Pharmaceutical Co., Ltd.",,,,,,,,"Zhejiang Xianju Pharmaceutical Co., Ltd.",https://biomiddleeast.com/exhibitors/zhejiang-xianju-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
68,"Sinobright Import And Export Co.,ltd",,,,,,,,"Sinobright Import And Export Co.,ltd",https://biomiddleeast.com/exhibitors/sinobright-import-and-export-coltd,https://biomiddleeast.com/exhibitor-list-2026
69,"Hangzhou Starshine Pharmaceutical Co., Ltd",,,,,,,,"Hangzhou Starshine Pharmaceutical Co., Ltd",https://biomiddleeast.com/exhibitors/hangzhou-starshine-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
70,Livzon Pharmaceutical Group,,,,,,,,Livzon Pharmaceutical Group,https://biomiddleeast.com/exhibitors/livzon-pharmaceutical-group,https://biomiddleeast.com/exhibitor-list-2026
71,"ZHEJIANG TIANYU PHARMACEUTICAL CO., LTD.",,,,,,,,"ZHEJIANG TIANYU PHARMACEUTICAL CO., LTD.",https://biomiddleeast.com/exhibitors/zhejiang-tianyu-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
72,"Zhejiang Boxiao Bio-Pharmaceutical Co., Ltd",,,,,,,,"Zhejiang Boxiao Bio-Pharmaceutical Co., Ltd",https://biomiddleeast.com/exhibitors/zhejiang-boxiao-bio-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
73,"Hunan Jiudian Hongyang Pharmaceutical Co., Ltd.",,,,,,,,"Hunan Jiudian Hongyang Pharmaceutical Co., Ltd.",https://biomiddleeast.com/exhibitors/hunan-jiudian-hongyang-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
74,"ALIOTH BIOTECH (SHANGHAI) CO., LTD",,,,,,,,"ALIOTH BIOTECH (SHANGHAI) CO., LTD",https://biomiddleeast.com/exhibitors/alioth-biotech-shanghai-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
75,"Sinopharm Zhijun (Shenzhen) Pharmaceutical Co., Ltd.",,,,,,,,"Sinopharm Zhijun (Shenzhen) Pharmaceutical Co., Ltd.",https://biomiddleeast.com/exhibitors/sinopharm-zhijun-shenzhen-pharmaceutical-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
